d,2,2,3,3,2,8,7,6,7,6,6,4,2,8,3,6
t,4,5,5,4,2,5,12,3,8,11,9,4,1,11,2,4
a,2,6,3,4,2,11,3,3,3,11,2,10,2,6,3,8
k,3,6,4,4,1,4,7,8,1,7,6,11,3,8,2,11
b,4,7,5,5,5,8,6,6,7,6,6,6,2,8,7,10
c,2,5,3,3,2,6,8,7,8,8,7,13,1,9,4,10
g,5,9,6,7,4,6,7,6,6,10,7,10,2,9,5,9
n,4,4,5,6,2,7,7,14,2,4,6,8,6,8,0,8
x,3,9,6,7,5,7,6,2,6,7,5,8,3,6,7,7
c,4,7,6,5,4,7,8,8,6,5,7,13,4,7,4,8
w,4,6,6,4,4,10,11,3,2,4,9,7,7,11,0,7
m,5,9,8,6,10,7,7,3,2,7,4,8,15,6,3,7
t,3,11,5,8,1,9,15,0,6,6,11,8,0,8,0,8
w,4,8,6,6,6,8,10,2,3,6,8,8,7,11,1,8
o,5,5,7,4,4,8,5,4,5,8,4,8,3,8,4,8
q,5,6,6,8,6,9,8,7,2,4,7,11,3,9,5,10
u,3,1,4,2,1,7,8,6,8,7,10,8,3,10,1,8
f,5,9,6,7,6,6,10,6,5,8,5,8,3,10,8,10
e,3,6,3,4,3,4,7,5,8,7,6,13,0,8,6,9
o,6,10,6,7,4,9,6,8,6,10,3,8,4,8,4,6
w,12,12,11,7,5,6,11,2,3,7,11,7,9,12,1,7
l,4,9,5,7,3,3,3,7,8,1,0,5,1,6,1,6
h,3,5,5,4,3,7,7,3,6,10,6,8,3,8,3,8
c,6,9,6,6,4,7,8,6,8,13,7,10,3,11,4,6
w,10,11,10,8,6,2,11,2,3,10,11,9,8,10,2,6
n,5,8,7,6,5,7,6,10,5,6,4,5,4,7,4,9
d,4,8,6,6,4,7,9,7,7,11,6,4,4,8,5,9
m,5,9,7,4,4,6,4,3,2,8,4,10,7,3,1,8
e,4,5,5,4,5,6,7,4,3,7,7,9,4,11,8,11
t,2,9,4,6,1,9,14,0,6,5,11,8,0,8,0,8
d,5,11,7,8,7,9,8,5,5,10,5,4,4,8,5,9
q,6,10,8,7,7,8,5,7,4,5,7,10,6,6,8,9
j,7,11,9,8,6,8,4,4,6,8,6,7,5,6,5,7
z,4,8,5,6,4,9,9,6,4,7,5,8,3,8,10,7
q,2,2,3,3,2,8,8,5,2,7,8,10,2,9,4,9
y,4,7,6,5,5,8,5,6,4,6,9,8,3,8,8,4
t,3,2,4,4,2,7,12,3,6,7,11,8,2,11,1,7
r,2,6,3,4,2,6,9,9,4,7,5,8,2,7,5,11
m,5,2,6,4,4,8,6,6,4,7,7,8,8,6,2,7
y,7,8,7,6,4,3,11,2,7,12,11,6,0,10,2,5
z,4,8,6,6,6,7,8,2,7,7,6,7,1,9,9,8
y,7,9,8,7,4,2,10,3,7,12,12,7,1,11,2,5
c,5,11,5,8,4,4,7,5,6,11,9,14,2,10,4,7
i,2,11,2,9,2,7,7,0,8,7,6,8,0,8,3,8
i,1,6,0,8,1,7,7,4,4,7,6,8,0,8,0,8
m,11,15,10,8,6,8,11,5,5,4,5,9,9,9,2,7
w,9,11,8,8,7,5,10,4,3,9,8,7,9,11,3,5
v,3,5,5,8,2,7,8,4,3,7,14,8,3,9,0,8
a,2,4,3,3,1,11,3,3,2,11,2,9,2,6,2,9
d,5,10,5,6,4,6,8,4,6,9,6,6,5,9,6,5
p,3,5,5,4,2,7,10,4,4,12,5,3,1,10,2,8
z,2,7,3,5,1,7,7,3,13,9,6,8,0,8,8,8
p,4,9,5,6,2,3,12,8,1,10,6,3,1,10,4,8
r,2,4,4,3,2,8,7,3,5,10,4,7,2,7,3,10
w,4,7,6,5,3,5,8,5,1,7,8,8,8,9,0,8
z,3,5,5,8,4,12,4,2,5,9,3,7,1,8,5,10
d,3,8,5,6,4,10,6,3,6,11,4,7,3,8,2,9
g,3,9,4,7,2,7,7,8,7,5,6,9,2,7,6,11
q,7,9,7,10,8,8,9,7,2,7,7,11,4,10,8,6
y,5,10,6,8,6,8,7,6,5,5,9,8,3,9,10,7
i,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8
n,5,9,8,6,4,11,6,4,5,10,1,4,5,8,1,7
x,4,8,6,6,6,7,7,3,5,6,5,10,2,7,8,8
n,3,7,4,5,2,7,7,14,2,5,6,8,5,8,0,8
b,1,0,1,1,1,7,7,7,4,6,6,7,1,8,6,9
c,5,6,6,5,5,6,7,4,5,7,6,11,5,10,8,11
e,3,4,5,3,3,6,7,2,8,11,7,9,2,8,4,8
u,3,7,3,5,1,7,6,13,5,8,13,8,3,9,0,8
a,1,3,3,2,1,11,2,3,2,10,2,9,1,6,2,8
w,5,5,7,4,4,7,11,3,2,6,9,8,8,11,0,8
s,1,0,2,1,1,8,7,4,7,5,6,7,0,8,7,8
g,2,6,3,4,2,7,6,6,6,7,3,10,1,8,4,10
l,2,3,3,2,1,7,4,2,7,8,2,10,0,7,2,8
c,3,6,4,4,1,5,7,7,10,6,6,13,1,8,4,8
s,4,10,4,8,4,9,8,5,9,5,5,5,1,6,9,7
w,5,10,7,7,7,7,7,6,2,7,8,8,6,8,4,10
h,5,4,5,6,2,7,7,15,0,7,6,8,3,8,0,8
d,5,7,7,6,6,6,7,5,7,7,6,9,4,5,6,5
x,5,7,7,5,6,8,6,2,5,6,7,7,3,10,10,8
m,5,9,6,6,6,8,5,11,0,6,9,8,7,5,0,7
k,6,9,9,7,5,3,9,3,7,11,11,11,3,8,3,5
p,6,9,8,7,6,8,9,4,4,12,5,4,1,10,3,8
b,5,9,8,7,7,10,6,3,6,10,4,6,2,8,5,10
c,4,8,5,6,3,5,8,7,8,9,8,14,1,9,4,9
i,6,10,5,6,3,10,6,4,6,14,3,6,2,9,4,11
