c,2,4,3,3,1,6,8,7,7,9,8,13,1,10,4,10
d,4,9,5,7,6,7,8,6,6,8,7,5,3,8,3,7
z,3,8,4,6,2,7,7,4,14,9,6,8,0,8,8,8
u,4,6,5,4,2,4,8,5,6,10,9,9,3,9,2,7
x,5,8,6,7,7,6,8,2,5,8,7,10,2,8,7,8
z,5,9,6,7,3,7,7,4,15,9,6,8,0,8,8,8
d,4,8,6,6,5,10,6,4,6,9,3,6,3,9,3,8
a,4,10,7,7,2,8,7,3,0,7,0,8,3,7,2,8
t,3,6,4,4,3,6,11,4,5,10,8,5,3,12,2,5
r,3,7,5,5,4,9,7,4,5,10,4,7,3,7,4,11
a,3,8,5,6,5,8,8,6,4,6,6,8,3,7,6,4
u,8,10,8,8,5,4,8,5,9,11,10,9,3,9,2,6
f,3,6,5,4,3,7,9,3,5,12,6,5,2,9,2,7
d,2,3,3,2,2,7,7,6,6,7,6,5,2,8,3,7
b,3,9,3,7,5,7,8,8,6,7,5,7,2,7,8,9
k,4,9,6,7,7,6,6,3,4,6,6,9,8,7,8,7
v,4,10,6,8,2,8,8,4,3,6,14,8,3,9,0,8
b,4,8,5,6,5,7,8,5,4,7,5,7,3,8,6,8
x,3,1,4,3,2,7,7,3,9,6,6,8,2,8,6,8
b,5,8,7,6,10,8,8,4,3,6,7,7,7,11,9,9
y,5,6,4,9,3,7,8,3,2,7,10,5,4,10,5,6
t,4,8,5,6,3,7,12,3,7,7,11,8,2,12,1,7
t,6,8,6,6,3,4,12,3,8,12,10,4,1,10,2,5
b,4,6,4,8,4,6,7,10,7,7,6,7,3,8,9,10
k,4,8,6,6,4,9,5,2,7,10,3,9,4,7,5,11
c,3,5,4,3,2,4,8,5,7,11,9,12,1,9,3,7
k,2,1,2,2,1,5,7,8,1,7,6,11,3,8,2,11
a,3,6,4,4,2,10,2,2,3,8,2,8,2,6,2,8
i,0,3,1,2,1,7,7,1,6,7,6,8,0,8,2,8
d,2,4,4,3,2,8,7,4,6,10,4,6,2,8,3,8
s,5,8,6,6,3,7,7,4,8,11,5,8,2,8,5,8
l,1,0,2,1,0,2,1,6,5,0,2,4,0,8,0,8
g,2,1,2,2,1,8,6,6,6,6,5,10,1,7,5,10
z,7,10,9,8,6,6,9,3,9,12,8,6,3,10,7,6
y,4,6,5,8,6,10,12,5,4,6,7,7,5,10,8,5
d,5,10,5,5,3,7,7,4,6,9,6,6,5,9,7,5
y,5,7,8,10,11,8,9,4,2,6,8,9,4,11,8,8
w,6,5,7,4,4,3,11,2,3,10,10,8,7,11,1,7
r,4,9,5,7,4,10,7,3,7,10,2,7,3,6,3,11
u,7,9,7,6,4,5,7,7,9,8,7,9,5,11,5,2
a,4,10,6,7,2,9,4,3,2,8,1,8,3,7,3,8
q,4,7,5,9,6,10,10,6,3,3,8,12,3,9,7,10
c,2,1,3,2,1,6,7,6,9,7,6,14,0,8,4,9
l,3,9,4,7,3,7,4,2,8,7,1,8,1,6,2,7
w,5,8,8,6,3,9,8,5,2,7,8,8,9,9,0,8
s,5,8,7,7,9,7,8,5,5,7,7,7,5,10,10,11
w,8,8,11,7,11,6,8,6,6,6,6,7,10,9,9,9
b,3,6,4,4,4,6,6,7,5,6,6,7,2,9,7,10
y,3,4,5,5,1,7,10,2,2,8,12,8,1,11,0,8
g,5,9,6,7,4,7,6,7,8,11,6,11,2,11,4,9
b,3,8,5,6,4,8,7,7,6,7,6,5,2,8,8,9
r,4,8,6,6,5,7,8,5,6,7,5,7,3,7,5,8
v,3,7,5,5,3,8,12,2,3,5,10,9,4,12,3,7
w,8,8,8,6,6,3,11,2,3,10,9,8,7,11,2,6
u,7,11,7,8,5,4,8,5,8,10,9,9,3,9,2,6
a,3,8,5,6,3,12,3,2,2,9,2,9,3,7,3,9
t,8,12,7,7,2,5,11,3,7,13,7,4,2,8,4,4
s,5,8,6,6,3,9,6,4,8,11,4,8,2,8,5,11
m,7,11,10,8,10,8,7,5,5,6,7,7,11,8,4,6
j,2,7,2,5,1,14,2,6,5,14,1,10,0,7,0,8
q,3,6,4,8,4,9,7,7,3,5,7,10,3,9,5,10
o,4,8,5,6,4,7,7,8,4,7,6,10,3,8,3,8
t,5,10,5,7,3,6,11,3,7,11,9,4,2,12,3,4
w,11,15,12,9,8,7,8,3,4,7,9,7,12,9,3,5
g,6,11,7,8,6,6,6,6,5,5,6,10,2,9,4,8
q,4,9,5,11,5,9,8,8,2,4,7,11,4,9,6,9
p,4,9,6,7,3,6,13,5,2,12,5,1,1,10,3,8
v,2,6,3,4,1,7,9,4,2,7,13,8,3,10,0,8
p,7,10,10,8,5,6,13,7,2,11,5,2,1,11,4,8
i,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8
s,6,11,9,8,12,7,5,3,3,8,5,8,4,8,15,8
i,1,8,0,6,0,7,7,4,4,7,6,8,0,8,0,8
l,4,7,5,5,2,5,4,2,9,6,2,9,1,6,2,7
o,4,8,4,6,3,8,5,8,5,9,4,8,3,8,3,8
k,6,11,9,8,5,3,7,3,8,11,11,12,3,8,4,6
c,4,9,4,4,3,7,7,4,3,9,8,10,3,9,8,10
c,5,10,6,7,3,5,9,7,8,6,8,14,1,7,4,9
n,4,8,5,6,4,7,7,12,1,6,6,8,5,8,0,8
p,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8
n,7,9,9,5,3,8,6,3,4,13,6,8,6,8,0,8
l,3,8,3,6,1,0,1,5,6,0,0,7,0,8,0,8
i,4,8,5,6,3,9,5,2,7,7,7,5,0,9,4,7
o,4,8,4,6,4,7,7,7,4,10,6,8,3,8,3,6
j,4,11,5,8,3,7,8,2,6,14,5,8,1,8,1,8
w,4,9,6,7,4,6,8,4,2,7,8,8,8,10,0,8
p,4,10,5,7,3,5,10,10,3,9,6,4,2,10,4,8
l,4,10,4,7,2,0,2,4,6,1,0,8,0,8,0,8
a,4,7,5,5,3,8,2,2,2,7,2,8,2,7,3,6
