A,B,C,D,E,F,G,H,I,s
1,2,2,0,0,0,0,0,0,5
1,2,2,1,3,25,0,0,0,34
1,2,2,1,3,9,5,19,0,42
1,2,2,1,3,15,13,5,19,61
1,2,2,1,25,5,0,0,0,36
1,2,2,1,14,4,15,14,15,68
1,2,2,1,19,0,0,0,0,25
1,2,2,1,19,9,0,0,0,34
1,2,2,1,19,19,9,0,0,53
1,2,2,1,20,9,1,12,0,48
1,2,2,1,20,9,3,1,12,51
1,2,2,1,20,9,5,0,0,40
1,2,2,5,25,19,0,0,0,54
1,2,2,5,19,0,0,0,0,29
1,2,2,5,19,19,0,0,0,48
1,2,2,5,19,19,5,19,0,72
1,2,2,5,19,20,0,0,0,49
1,2,2,15,3,3,1,20,15,62
1,2,2,15,7,1,4,1,0,33
1,2,2,15,20,3,25,0,0,68
1,2,2,15,20,3,9,5,19,76
1,2,2,15,20,18,9,3,0,70
1,2,2,15,20,19,0,0,0,59
1,2,2,15,20,19,8,9,16,92
1,2,2,15,26,26,15,0,0,87
1,2,2,18,5,22,0,0,0,50
1,2,3,5,19,19,0,0,0,49
1,2,3,9,19,19,1,0,0,54
1,2,3,15,21,12,15,13,2,84
1,2,4,0,0,0,0,0,0,7
1,2,4,1,12,0,0,0,0,20
1,2,4,1,12,9,0,0,0,29
1,2,4,1,18,9,1,0,0,36
1,2,4,1,20,0,0,0,0,28
1,2,4,5,19,20,0,0,0,51
1,2,4,9,3,1,2,12,5,39
1,2,4,9,3,1,14,20,0,54
1,2,4,9,3,1,20,5,0,45
1,2,4,9,3,1,20,5,4,49
1,2,4,9,3,1,20,5,19,64
1,2,4,9,3,1,20,15,18,73
1,2,4,9,20,9,22,5,0,72
1,2,4,9,20,15,18,25,0,94
1,2,4,15,13,0,0,0,0,35
1,2,4,15,13,5,14,0,0,54
1,2,4,15,13,5,14,19,0,73
1,2,4,15,13,9,14,1,0,59
1,2,4,15,13,9,14,1,12,71
1,2,4,21,3,5,0,0,0,36
1,2,4,21,3,5,4,0,0,40
1,2,4,21,3,5,14,19,0,69
1,2,4,21,3,5,14,20,0,70
1,2,4,21,3,5,19,0,0,55
1,2,4,21,3,9,14,7,0,61
1,2,4,21,3,20,0,0,0,51
1,2,4,21,3,20,5,4,0,60
1,2,4,21,3,20,9,14,7,81
1,2,4,21,3,20,9,15,14,89
1,2,4,21,3,20,15,18,0,84
1,2,4,21,3,20,15,18,19,103
1,2,4,21,3,20,19,0,0,70
1,2,5,1,13,0,0,0,0,22
1,2,5,1,18,0,0,0,0,27
1,2,5,1,18,1,14,3,5,50
1,2,5,3,5,4,1,18,25,64
1,2,5,4,0,0,0,0,0,12
1,2,5,4,5,0,0,0,0,17
1,2,5,4,7,5,0,0,0,24
1,2,5,7,7,5,0,0,0,27
1,2,5,25,1,14,3,5,0,56
1,2,5,25,1,14,3,5,19,75
1,2,5,25,1,14,3,25,0,76
1,2,5,25,1,14,20,0,0,68
1,2,5,9,7,8,0,0,0,32
1,2,5,12,5,0,0,0,0,25
1,2,5,12,5,19,0,0,0,44
1,2,5,12,13,15,19,11,0,78
1,2,5,12,13,15,19,11,19,97
1,2,5,12,13,21,19,11,0,84
1,2,5,12,20,18,5,5,0,68
1,2,5,14,4,0,0,0,0,26
1,2,5,14,4,19,0,0,0,45
1,2,5,14,20,5,18,9,3,77
1,2,5,18,14,5,20,8,25,98
1,2,5,18,18,0,0,0,0,44
1,2,5,18,18,1,14,3,5,67
1,2,5,18,18,1,14,3,25,87
1,2,5,18,18,1,14,20,0,79
1,2,5,18,18,1,14,20,19,98
1,2,5,18,18,1,20,5,0,70
1,2,5,18,18,1,20,5,4,74
1,2,5,18,18,1,20,15,18,98
1,2,5,19,19,5,0,0,0,51
1,2,5,19,19,9,22,5,0,82
1,2,5,20,0,0,0,0,0,28
1,2,5,20,13,5,14,20,0,80
1,2,5,20,13,5,14,20,19,99
1,2,5,20,19,0,0,0,0,47
1,2,5,20,20,1,12,0,0,61
1,2,5,20,20,1,12,19,0,80
1,2,5,20,20,5,4,0,0,57
1,2,5,20,20,5,18,0,0,71
1,2,5,20,20,5,18,19,0,90
1,2,5,20,20,9,14,7,0,78
1,2,5,20,20,15,18,0,0,81
1,2,5,20,20,15,18,19,0,100
1,2,6,1,18,1,4,0,0,33
1,2,6,1,18,1,4,19,0,52
1,2,8,5,14,18,25,0,0,73
1,2,8,5,14,18,9,5,19,81
1,2,8,5,14,18,25,19,0,92
1,2,8,9,14,1,25,1,0,61
1,2,8,9,19,5,11,1,0,56
1,2,8,15,18,0,0,0,0,44
1,2,8,15,18,18,5,4,0,71
1,2,8,15,18,18,5,14,20,101
1,2,8,15,18,18,5,18,0,85
1,2,8,15,18,18,5,18,19,104
1,2,8,15,18,18,9,14,7,92
1,2,8,15,18,19,0,0,0,63
1,2,25,0,0,0,0,0,0,28
1,2,9,3,8,9,20,5,0,57
1,2,9,4,1,12,0,0,0,29
1,2,9,4,1,14,3,5,0,39
1,2,9,4,1,14,3,5,19,58
1,2,9,4,4,5,14,0,0,39
1,2,9,4,5,0,0,0,0,21
1,2,9,4,5,4,0,0,0,25
1,2,9,4,5,18,0,0,0,39
1,2,9,4,5,18,19,0,0,58
1,2,9,4,5,19,0,0,0,40
1,2,9,4,9,0,0,0,0,25
1,2,9,4,9,14,7,0,0,46
1,2,9,4,9,14,7,12,25,83
1,2,25,5,0,0,0,0,0,33
1,2,9,5,4,0,0,0,0,21
1,2,25,5,4,0,0,0,0,37
